Plot_ID,EP_Plot_ID,Exploratory,Latitude,Longitude,VIP,MIP,Landuse,Soil_Type_German,Soil_Type_WRB,Main_Tree_Species
S993,na,SCH,53.1,13.61,no,no,Grassland,nd,nd,nd
S994,na,SCH,53.1,13.61,no,no,Grassland,nd,nd,nd
S995,SEG48,SCH,53.1,13.61,no,no,Grassland,Parabraunerde,Luvisol,na
S996,na,SCH,53.1,13.61,no,no,Grassland,nd,nd,nd
S997,na,SCH,53.1,13.98,no,no,Grassland,nd,nd,nd
S998,na,SCH,53.1,13.98,no,no,Grassland,nd,nd,nd
S935,na,SCH,53.17,13.82,no,no,Grassland,nd,nd,nd
S936,na,SCH,53.17,13.85,no,no,Grassland,nd,nd,nd
S937,na,SCH,53.17,13.84,no,no,Grassland,nd,nd,nd
S938,na,SCH,53.17,13.84,no,no,Grassland,nd,nd,nd
S939,na,SCH,53.16,13.84,no,no,Grassland,nd,nd,nd
S94,na,SCH,53,13.85,no,no,Forest,nd,nd,nd
S940,na,SCH,53.16,13.84,no,no,Grassland,nd,nd,nd
S941,na,SCH,53.16,13.84,no,no,Grassland,nd,nd,nd
S942,na,SCH,53.17,13.84,no,no,Grassland,nd,nd,nd
S943,na,SCH,53.09,14.02,no,no,Grassland,nd,nd,nd
S944,na,SCH,53.09,14.02,no,no,Grassland,nd,nd,nd
S945,na,SCH,53.09,14.02,no,no,Grassland,nd,nd,nd
S946,na,SCH,53.09,14.02,no,no,Grassland,nd,nd,nd
S947,na,SCH,53.09,14.02,no,no,Grassland,nd,nd,nd
S948,na,SCH,53.09,14.02,no,no,Grassland,nd,nd,nd
S949,na,SCH,53.09,14.02,no,no,Grassland,nd,nd,nd
S95,na,SCH,53,13.85,no,no,Forest,nd,nd,nd
S950,na,SCH,53.09,14.02,no,no,Grassland,nd,nd,nd
S951,na,SCH,53.09,14.02,no,no,Grassland,nd,nd,nd
S952,na,SCH,53.09,14.02,no,no,Grassland,nd,nd,nd
S953,na,SCH,53.09,14.02,no,no,Grassland,nd,nd,nd
S954,na,SCH,53.09,14.03,no,no,Grassland,nd,nd,nd
S955,na,SCH,53.09,14.03,no,no,Grassland,nd,nd,nd
S956,na,SCH,53.11,13.89,no,no,Grassland,nd,nd,nd
S957,na,SCH,53.11,13.89,no,no,Grassland,nd,nd,nd
S958,na,SCH,53.11,13.89,no,no,Grassland,nd,nd,nd
S959,na,SCH,53.11,13.89,no,no,Grassland,nd,nd,nd
S96,na,SCH,53,13.85,no,no,Forest,nd,nd,nd
S960,na,SCH,53.1,13.89,no,no,Grassland,nd,nd,nd
S961,na,SCH,53.1,13.89,no,no,Grassland,nd,nd,nd
S962,na,SCH,53.13,13.86,no,no,Grassland,nd,nd,nd
S963,na,SCH,53.13,13.86,no,no,Grassland,nd,nd,nd
S964,na,SCH,53.12,13.86,no,no,Grassland,nd,nd,nd
S965,na,SCH,53.12,13.86,no,no,Grassland,nd,nd,nd
S966,na,SCH,53.12,13.86,no,no,Grassland,nd,nd,nd
S903,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S904,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S905,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S906,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S907,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S908,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S909,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S91,na,SCH,53,13.85,no,no,Forest,nd,nd,nd
S910,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S911,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S912,na,SCH,53.12,13.76,no,no,Grassland,nd,nd,nd
S913,na,SCH,53.11,13.79,no,no,Grassland,nd,nd,nd
S914,na,SCH,53.11,13.79,no,no,Grassland,nd,nd,nd
S915,na,SCH,53.11,13.79,no,no,Grassland,nd,nd,nd
S916,na,SCH,53.11,13.79,no,no,Grassland,nd,nd,nd
S917,na,SCH,53.11,13.79,no,no,Grassland,nd,nd,nd
S918,na,SCH,53.11,13.79,no,no,Grassland,nd,nd,nd
S919,na,SCH,53.11,13.79,no,no,Grassland,nd,nd,nd
S92,na,SCH,53,13.85,no,no,Forest,nd,nd,nd
S920,na,SCH,53.11,13.8,no,no,Grassland,nd,nd,nd
S921,na,SCH,53.11,13.79,no,no,Grassland,nd,nd,nd
S922,na,SCH,53.11,13.79,no,no,Grassland,nd,nd,nd
S923,na,SCH,53.11,13.79,no,no,Grassland,nd,nd,nd
S924,na,SCH,53.16,13.83,no,no,Grassland,nd,nd,nd
S925,na,SCH,53.16,13.83,no,no,Grassland,nd,nd,nd
S926,na,SCH,53.17,13.82,no,no,Grassland,nd,nd,nd
S927,na,SCH,53.17,13.82,no,no,Grassland,nd,nd,nd
S928,na,SCH,53.17,13.82,no,no,Grassland,nd,nd,nd
S929,na,SCH,53.17,13.82,no,no,Grassland,nd,nd,nd
S93,na,SCH,53,13.85,no,no,Forest,nd,nd,nd
S930,na,SCH,53.17,13.82,no,no,Grassland,nd,nd,nd
S931,na,SCH,53.17,13.82,no,no,Grassland,nd,nd,nd
S932,na,SCH,53.17,13.83,no,no,Grassland,nd,nd,nd
S933,na,SCH,53.17,13.83,no,no,Grassland,nd,nd,nd
S934,na,SCH,53.17,13.83,no,no,Grassland,nd,nd,nd
S872,na,SCH,53.09,14,no,no,Grassland,nd,nd,nd
S873,na,SCH,53.09,14,no,no,Grassland,nd,nd,nd
S874,na,SCH,53.09,14,no,no,Grassland,nd,nd,nd
S875,na,SCH,53.09,14,no,no,Grassland,nd,nd,nd
S876,na,SCH,53.09,14,no,no,Grassland,nd,nd,nd
S877,na,SCH,53.09,14,no,no,Grassland,nd,nd,nd
S878,na,SCH,53.09,14,no,no,Grassland,nd,nd,nd
S879,na,SCH,53.1,14,no,no,Grassland,nd,nd,nd
S88,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S880,na,SCH,53.09,14.01,no,no,Grassland,nd,nd,nd
S881,na,SCH,53.11,13.89,no,no,Grassland,nd,nd,nd
S882,na,SCH,53.11,13.89,no,no,Grassland,nd,nd,nd
S883,na,SCH,53.11,13.89,no,no,Grassland,nd,nd,nd
S884,na,SCH,53.11,13.89,no,no,Grassland,nd,nd,nd
S885,na,SCH,53.11,13.9,no,no,Grassland,nd,nd,nd
S886,na,SCH,53.1,13.9,no,no,Grassland,nd,nd,nd
S887,na,SCH,53.1,13.9,no,no,Grassland,nd,nd,nd
S888,na,SCH,53.1,13.9,no,no,Grassland,nd,nd,nd
S889,na,SCH,53.1,13.9,no,no,Grassland,nd,nd,nd
S89,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S890,na,SCH,53.11,13.9,no,no,Grassland,nd,nd,nd
S891,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S892,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S893,na,SCH,53.12,13.74,no,no,Grassland,nd,nd,nd
S894,na,SCH,53.12,13.74,no,no,Grassland,nd,nd,nd
S895,na,SCH,53.12,13.74,no,no,Grassland,nd,nd,nd
S896,na,SCH,53.12,13.74,no,no,Grassland,nd,nd,nd
S897,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S898,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S899,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S9,na,SCH,53,13.83,no,no,Forest,nd,nd,nd
S90,na,SCH,53.01,13.85,no,no,Forest,nd,nd,nd
S900,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S901,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S902,na,SCH,53.12,13.75,no,no,Grassland,nd,nd,nd
S840,na,SCH,53.1,14,no,no,Grassland,nd,nd,nd
S841,na,SCH,53.15,13.87,no,no,Grassland,nd,nd,nd
S842,na,SCH,53.15,13.86,no,no,Grassland,nd,nd,nd
S843,na,SCH,53.15,13.86,no,no,Grassland,nd,nd,nd
S844,na,SCH,53.15,13.86,no,no,Grassland,nd,nd,nd
S845,na,SCH,53.15,13.86,no,no,Grassland,nd,nd,nd
S846,na,SCH,53.15,13.86,no,no,Grassland,nd,nd,nd
S847,na,SCH,53.15,13.86,no,no,Grassland,nd,nd,nd
S848,na,SCH,53.15,13.86,no,no,Grassland,nd,nd,nd
S849,na,SCH,53.15,13.86,no,no,Grassland,nd,nd,nd
S85,na,SCH,53,13.85,no,no,Forest,nd,nd,nd
S850,SEG40,SCH,53.12,13.84,no,no,Grassland,Parabraunerde,Luvisol,na
S851,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S852,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S853,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S854,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S855,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S856,na,SCH,53.12,13.85,no,no,Grassland,nd,nd,nd
S857,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S858,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S859,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S86,na,SCH,53,13.85,no,no,Forest,nd,nd,nd
S860,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S861,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S862,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S863,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S864,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S865,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S866,na,SCH,53.12,13.85,no,no,Grassland,nd,nd,nd
S867,na,SCH,53.12,13.85,no,no,Grassland,nd,nd,nd
S868,na,SCH,53.12,13.85,no,no,Grassland,nd,nd,nd
S869,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S87,na,SCH,53,13.84,no,no,Forest,nd,nd,nd
S870,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S871,na,SCH,53.12,13.84,no,no,Grassland,nd,nd,nd
S809,na,SCH,52.96,13.9,no,no,Grassland,nd,nd,nd
S81,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S810,na,SCH,52.96,13.9,no,no,Grassland,nd,nd,nd
S811,na,SCH,52.96,13.9,no,no,Grassland,nd,nd,nd
S812,na,SCH,52.96,13.9,no,no,Grassland,nd,nd,nd
S813,na,SCH,52.96,13.9,no,no,Grassland,nd,nd,nd
S814,na,SCH,52.96,13.9,no,no,Grassland,nd,nd,nd
S815,na,SCH,52.96,13.9,no,no,Grassland,nd,nd,nd
S816,na,SCH,52.97,13.9,no,no,Grassland,nd,nd,nd
S817,na,SCH,52.97,13.9,no,no,Grassland,nd,nd,nd
S818,na,SCH,52.97,13.9,no,no,Grassland,nd,nd,nd
S819,na,SCH,52.97,13.9,no,no,Grassland,nd,nd,nd
S82,na,SCH,53,13.84,no,no,Forest,nd,nd,nd
S820,na,SCH,52.97,13.9,no,no,Grassland,nd,nd,nd
S821,na,SCH,52.97,13.9,no,no,Grassland,nd,nd,nd
S822,na,SCH,52.97,13.9,no,no,Grassland,nd,nd,nd
S823,na,SCH,52.97,13.9,no,no,Grassland,nd,nd,nd
S824,na,SCH,52.97,13.9,no,no,Grassland,nd,nd,nd
S825,na,SCH,52.97,13.89,no,no,Grassland,nd,nd,nd
S826,na,SCH,52.97,13.89,no,no,Grassland,nd,nd,nd
S827,na,SCH,52.97,13.89,no,no,Grassland,nd,nd,nd
S828,na,SCH,52.97,13.89,no,no,Grassland,nd,nd,nd
S829,na,SCH,52.97,13.89,no,no,Grassland,nd,nd,nd
S83,na,SCH,53,13.85,no,no,Forest,nd,nd,nd
S830,na,SCH,52.97,13.89,no,no,Grassland,nd,nd,nd
S831,na,SCH,52.97,13.9,no,no,Grassland,nd,nd,nd
S832,na,SCH,52.98,13.93,no,no,Grassland,nd,nd,nd
S833,na,SCH,52.98,13.93,no,no,Grassland,nd,nd,nd
S834,na,SCH,52.98,13.93,no,no,Grassland,nd,nd,nd
S835,na,SCH,53.1,14,no,no,Grassland,nd,nd,nd
S836,na,SCH,53.09,14,no,no,Grassland,nd,nd,nd
S837,na,SCH,53.1,14,no,no,Grassland,nd,nd,nd
S838,na,SCH,53.1,14,no,no,Grassland,nd,nd,nd
S839,na,SCH,53.1,14,no,no,Grassland,nd,nd,nd
S84,na,SCH,53,13.85,no,no,Forest,nd,nd,nd
S778,na,SCH,52.98,13.82,no,no,Grassland,nd,nd,nd
S779,SEG46,SCH,52.98,13.83,no,yes,Grassland,Braunerde,Cambisol,na
S78,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S780,SEG39,SCH,52.98,13.82,no,yes,Grassland,Braunerde,Cambisol,na
S781,na,SCH,52.98,13.82,no,no,Grassland,nd,nd,nd
S782,na,SCH,52.98,13.82,no,no,Grassland,nd,nd,nd
S783,na,SCH,52.98,13.83,no,no,Grassland,nd,nd,nd
S784,na,SCH,52.98,13.83,no,no,Grassland,nd,nd,nd
S785,na,SCH,52.98,13.83,no,no,Grassland,nd,nd,nd
S786,na,SCH,52.98,13.83,no,no,Grassland,nd,nd,nd
S787,na,SCH,52.98,13.83,no,no,Grassland,nd,nd,nd
S788,na,SCH,52.98,13.83,no,no,Grassland,nd,nd,nd
S789,na,SCH,52.98,13.83,no,no,Grassland,nd,nd,nd
S79,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S790,na,SCH,52.96,13.82,no,no,Grassland,nd,nd,nd
S791,na,SCH,52.96,13.82,no,no,Grassland,nd,nd,nd
S792,na,SCH,52.96,13.82,no,no,Grassland,nd,nd,nd
S793,na,SCH,52.96,13.83,no,no,Grassland,nd,nd,nd
S794,na,SCH,52.96,13.83,no,no,Grassland,nd,nd,nd
S795,na,SCH,52.96,13.83,no,no,Grassland,nd,nd,nd
S796,na,SCH,52.96,13.83,no,no,Grassland,nd,nd,nd
S797,na,SCH,52.96,13.83,no,no,Grassland,nd,nd,nd
S798,na,SCH,52.96,13.83,no,no,Grassland,nd,nd,nd
S799,na,SCH,52.99,13.83,no,no,Grassland,nd,nd,nd
S8,na,SCH,53,13.83,no,no,Forest,nd,nd,nd
S80,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S800,na,SCH,52.99,13.83,no,no,Grassland,nd,nd,nd
S801,SEG47,SCH,52.99,13.83,no,no,Grassland,Parabraunerde,Luvisol,na
S802,na,SCH,52.99,13.83,no,no,Grassland,nd,nd,nd
S803,na,SCH,52.97,13.92,no,no,Grassland,nd,nd,nd
S804,na,SCH,52.97,13.92,no,no,Grassland,nd,nd,nd
S805,na,SCH,52.97,13.92,no,no,Grassland,nd,nd,nd
S806,na,SCH,52.96,13.9,no,no,Grassland,nd,nd,nd
S807,na,SCH,52.96,13.9,no,no,Grassland,nd,nd,nd
S808,na,SCH,52.96,13.9,no,no,Grassland,nd,nd,nd
S746,na,SCH,52.98,13.82,no,no,Grassland,nd,nd,nd
S747,na,SCH,52.98,13.82,no,no,Grassland,nd,nd,nd
S748,na,SCH,52.98,13.82,no,no,Grassland,nd,nd,nd
S749,na,SCH,52.98,13.82,no,no,Grassland,nd,nd,nd
S75,na,SCH,53.01,13.83,no,no,Forest,nd,nd,nd
S750,na,SCH,52.98,13.83,no,no,Grassland,nd,nd,nd
S751,na,SCH,52.98,13.83,no,no,Grassland,nd,nd,nd
S752,na,SCH,52.98,13.82,no,no,Grassland,nd,nd,nd
S753,na,SCH,53.09,13.99,no,no,Grassland,nd,nd,nd
S754,na,SCH,53.09,13.99,no,no,Grassland,nd,nd,nd
S755,na,SCH,53.09,13.99,no,no,Grassland,nd,nd,nd
S756,na,SCH,53.09,13.99,no,no,Grassland,nd,nd,nd
S757,na,SCH,53.09,13.99,no,no,Grassland,nd,nd,nd
S758,na,SCH,53.09,13.99,no,no,Grassland,nd,nd,nd
S759,na,SCH,53.09,13.99,no,no,Grassland,nd,nd,nd
S76,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S760,na,SCH,53.09,13.99,no,no,Grassland,nd,nd,nd
S761,SEG24,SCH,53.09,14,no,no,Grassland,Mulmniedermoor,Histosol,na
S762,na,SCH,53.09,14,no,no,Grassland,nd,nd,nd
S763,na,SCH,53.09,13.99,no,no,Grassland,nd,nd,nd
S764,na,SCH,53.09,13.99,no,no,Grassland,nd,nd,nd
S765,na,SCH,53.1,13.99,no,no,Grassland,nd,nd,nd
S766,na,SCH,53.1,13.99,no,no,Grassland,nd,nd,nd
S767,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S768,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S769,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S77,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S770,SEG35,SCH,52.98,13.85,no,yes,Grassland,Parabraunerde,Luvisol,na
S771,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S772,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S773,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S774,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S775,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S776,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S777,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S714,na,SCH,53.11,14,no,no,Grassland,nd,nd,nd
S715,na,SCH,52.97,13.82,no,no,Grassland,nd,nd,nd
S716,na,SCH,52.97,13.82,no,no,Grassland,nd,nd,nd
S717,na,SCH,52.97,13.82,no,no,Grassland,nd,nd,nd
S718,na,SCH,52.97,13.82,no,no,Grassland,nd,nd,nd
S719,SEG13,SCH,52.97,13.82,no,no,Grassland,Braunerde,Cambisol,na
S72,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S720,na,SCH,52.97,13.82,no,no,Grassland,nd,nd,nd
S721,na,SCH,52.97,13.82,no,no,Grassland,nd,nd,nd
S722,na,SCH,52.97,13.81,no,no,Grassland,nd,nd,nd
S723,na,SCH,52.97,13.81,no,no,Grassland,nd,nd,nd
S724,na,SCH,52.97,13.81,no,no,Grassland,nd,nd,nd
S725,na,SCH,52.97,13.81,no,no,Grassland,nd,nd,nd
S726,na,SCH,52.97,13.81,no,no,Grassland,nd,nd,nd
S727,na,SCH,52.97,13.81,no,no,Grassland,nd,nd,nd
S728,na,SCH,52.97,13.81,no,no,Grassland,nd,nd,nd
S729,na,SCH,52.97,13.81,no,no,Grassland,nd,nd,nd
S73,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S730,na,SCH,53,13.84,no,no,Grassland,nd,nd,nd
S731,na,SCH,53,13.84,no,no,Grassland,nd,nd,nd
S732,SEG33,SCH,52.99,13.84,no,yes,Grassland,Fahlerde,Albeluvisol,na
S733,na,SCH,52.98,13.84,no,no,Grassland,nd,nd,nd
S734,na,SCH,52.98,13.84,no,no,Grassland,nd,nd,nd
S735,na,SCH,52.98,13.84,no,no,Grassland,nd,nd,nd
S736,na,SCH,52.98,13.84,no,no,Grassland,nd,nd,nd
S737,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S738,SEG34,SCH,52.98,13.85,no,no,Grassland,Fahlerde,Albeluvisol,na
S739,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S74,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S740,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S741,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S742,na,SCH,52.98,13.85,no,no,Grassland,nd,nd,nd
S743,na,SCH,52.98,13.82,no,no,Grassland,nd,nd,nd
S744,na,SCH,52.98,13.82,no,no,Grassland,nd,nd,nd
S745,na,SCH,52.98,13.82,no,no,Grassland,nd,nd,nd
S683,na,SCH,53.12,14,no,no,Grassland,nd,nd,nd
S684,na,SCH,53.12,14,no,no,Grassland,nd,nd,nd
S685,na,SCH,53.12,14,no,no,Grassland,nd,nd,nd
S686,na,SCH,53.12,14,no,no,Grassland,nd,nd,nd
S687,na,SCH,53.12,14,no,no,Grassland,nd,nd,nd
S688,na,SCH,53.13,14,no,no,Grassland,nd,nd,nd
S689,na,SCH,53.15,13.83,no,no,Grassland,nd,nd,nd
S69,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S690,SEG30,SCH,53.15,13.83,no,no,Grassland,Fahlerde,Albeluvisol,na
S691,na,SCH,53.15,13.83,no,no,Grassland,nd,nd,nd
S692,na,SCH,53.15,13.83,no,no,Grassland,nd,nd,nd
S693,na,SCH,53.15,13.83,no,no,Grassland,nd,nd,nd
S694,na,SCH,53.15,13.83,no,no,Grassland,nd,nd,nd
S695,na,SCH,53.15,13.83,no,no,Grassland,nd,nd,nd
S696,na,SCH,53.15,13.84,no,no,Grassland,nd,nd,nd
S697,na,SCH,53.15,13.84,no,no,Grassland,nd,nd,nd
S698,SEG31,SCH,53.15,13.84,no,yes,Grassland,Braunerde,Cambisol,na
S699,na,SCH,53.15,13.84,no,no,Grassland,nd,nd,nd
S7,na,SCH,53,13.86,no,no,Forest,nd,nd,nd
S70,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S700,na,SCH,53.15,13.84,no,no,Grassland,nd,nd,nd
S701,SEG32,SCH,53.15,13.83,no,yes,Grassland,Parabraunerde,Luvisol,na
S702,na,SCH,53.15,13.83,no,no,Grassland,nd,nd,nd
S703,na,SCH,53.15,13.83,no,no,Grassland,nd,nd,nd
S704,na,SCH,53.15,13.83,no,no,Grassland,nd,nd,nd
S705,na,SCH,53.15,13.83,no,no,Grassland,nd,nd,nd
S706,SEG16,SCH,53.12,14,no,no,Grassland,Gley,Gleysol,na
S707,na,SCH,53.11,14,no,no,Grassland,nd,nd,nd
S708,na,SCH,53.11,14,no,no,Grassland,nd,nd,nd
S709,na,SCH,53.12,14,no,no,Grassland,nd,nd,nd
S71,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S710,na,SCH,53.12,14,no,no,Grassland,nd,nd,nd
S711,na,SCH,53.11,14,no,no,Grassland,nd,nd,nd
S712,SEG4,SCH,53.11,14,yes,yes,Grassland,Erdniedermoor,Histosol,na
S713,na,SCH,53.11,14,no,no,Grassland,nd,nd,nd
S651,na,SCH,53.11,14.02,no,no,Grassland,nd,nd,nd
S652,SEG8,SCH,53.11,14.02,yes,yes,Grassland,Gley,Gleysol,na
S653,na,SCH,53.11,14.02,no,no,Grassland,nd,nd,nd
S654,na,SCH,53.11,14.02,no,no,Grassland,nd,nd,nd
S655,na,SCH,53.11,14.01,no,no,Grassland,nd,nd,nd
S656,na,SCH,53.11,14.01,no,no,Grassland,nd,nd,nd
S657,na,SCH,53.11,14.02,no,no,Grassland,nd,nd,nd
S658,SEG15,SCH,53.11,14.01,no,no,Grassland,Erdniedermoor,Histosol,na
S659,na,SCH,53.11,14.01,no,no,Grassland,nd,nd,nd
S66,na,SCH,53.01,13.83,no,no,Forest,nd,nd,nd
S660,na,SCH,53.11,14.01,no,no,Grassland,nd,nd,nd
S661,na,SCH,53.11,14.01,no,no,Grassland,nd,nd,nd
S662,na,SCH,53.11,14.01,no,no,Grassland,nd,nd,nd
S663,na,SCH,53.11,14.01,no,no,Grassland,nd,nd,nd
S664,na,SCH,53.11,14.01,no,no,Grassland,nd,nd,nd
S665,na,SCH,53.11,14,no,no,Grassland,nd,nd,nd
